open_time,open_price,high_price,low_price,close_price,close_volume,close_time,quote_asset_volume,number_of_trades,taker_buy_quote_volume,taker_buy_base_volume,ignore
1678496400000,1434.82,1475.45,1434.82,1465.15,813082.938,1678499999999,1183341000.02779,380521,433225.346,630512113.85383,0.0
1678500000000,1465.15,1472.2,1456.0,1463.88,453835.117,1678503599999,663974576.61756,264136,222005.249,324812679.19095,0.0
1678503600000,1463.88,1464.0,1452.89,1457.55,275177.297,1678507199999,401061481.52289,162288,131169.493,191184284.44478,0.0
1678507200000,1457.55,1461.36,1446.59,1459.22,246819.239,1678510799999,359113569.07278,149990,126958.28,184742429.50336,0.0
1678510800000,1459.23,1465.98,1456.19,1461.51,144766.541,1678514399999,211665651.20015,97027,72571.127,106105337.99291,0.0
1678514400000,1461.5,1462.23,1446.12,1456.32,224315.948,1678517999999,326248135.17914,147288,110739.608,161050859.74494,0.0
1678518000000,1456.32,1461.48,1413.4,1415.74,698687.476,1678521599999,1004734056.67329,352787,334467.307,481134068.22827,0.0
1678521600000,1415.72,1451.0,1407.48,1433.36,737750.498,1678525199999,1052556132.03737,386814,381660.345,544684995.57764,0.0
1678525200000,1433.36,1440.7,1424.22,1434.49,322910.398,1678528799999,462848130.61054,197241,162177.424,232468443.65942,0.0
1678528800000,1434.49,1437.83,1424.1,1425.62,212630.88,1678532399999,304340158.98499,140457,104105.012,149041947.13699,0.0
1678532400000,1425.61,1429.6,1414.68,1426.33,293754.432,1678535999999,418050467.12784,194516,144917.712,206281170.29493,0.0
1678536000000,1426.33,1433.92,1425.02,1425.7,151805.02,1678539599999,216896745.77716,117571,81148.986,115940957.27402,0.0
1678539600000,1425.69,1435.66,1425.52,1428.73,147792.123,1678543199999,211468157.41739,108062,73479.259,105132102.78897,0.0
1678543200000,1428.73,1435.0,1426.49,1431.41,145855.788,1678546799999,208790563.57427,100835,66807.165,95639507.31386,0.0
1678546800000,1431.41,1435.2,1425.06,1427.47,140628.216,1678550399999,201147453.77899,96581,69629.575,99604062.99454,0.0
1678550400000,1427.47,1432.83,1420.98,1431.35,215704.496,1678553999999,307783653.76549,127267,111198.347,158670436.15909,0.0
1678554000000,1431.35,1455.83,1429.89,1448.49,396246.081,1678557599999,572180264.57752,203640,205347.983,296514314.87107,0.0
1678557600000,1448.49,1456.83,1444.51,1447.73,274050.335,1678561199999,397464797.51016,159800,131863.754,191275076.67696,0.0
1678561200000,1447.74,1451.59,1443.0,1448.33,150554.325,1678564799999,217795897.93659,88934,74461.409,107739491.95903,0.0
1678564800000,1448.32,1469.81,1448.28,1465.15,326466.814,1678568399999,476662706.60232,179450,172345.342,251606556.7469,0.0
1678568400000,1465.16,1468.04,1456.61,1463.98,153522.034,1678571999999,224399742.53236,112866,79867.1,116734666.63033,0.0
1678572000000,1463.99,1468.78,1456.84,1459.06,120775.134,1678575599999,176653908.20945,91762,57574.621,84222093.44557,0.0
1678575600000,1459.06,1478.0,1457.21,1471.03,223568.136,1678579199999,327999051.93416,126886,124939.822,183323460.57226,0.0
1678579200000,1471.03,1472.35,1458.88,1463.26,183137.305,1678582799999,268236913.25475,120656,87968.534,128850116.5863,0.0
1678582800000,1463.26,1467.78,1459.68,1462.71,116006.635,1678586399999,169765397.24608,87352,54308.765,79483197.64981,0.0
1678586400000,1462.71,1466.6,1452.5,1464.51,202140.568,1678589999999,294997788.10413,113094,104497.508,152538354.83746,0.0
1678590000000,1464.5,1473.2,1461.94,1465.82,161540.618,1678593599999,237000069.97894,105520,81228.414,119189493.41785,0.0
1678593600000,1465.82,1466.55,1459.7,1464.73,84741.547,1678597199999,124031980.92467,62388,43684.787,63945983.81898,0.0
1678597200000,1464.73,1470.68,1461.68,1462.05,93006.299,1678600799999,136397249.2617,74958,45305.031,66446757.8395,0.0
1678600800000,1462.06,1464.4,1456.41,1457.78,83936.254,1678604399999,122591881.46267,62064,38853.242,56752597.47324,0.0
1678604400000,1457.78,1461.8,1452.77,1459.0,89805.274,1678607999999,130898448.35732,74457,45657.863,66554584.09421,0.0
1678608000000,1458.99,1463.53,1457.69,1462.59,94838.74,1678611599999,138546293.9429,70758,51336.062,74996808.02789,0.0
1678611600000,1462.6,1466.0,1458.1,1459.79,110878.494,1678615199999,162144348.52346,76456,53016.345,77546252.91887,0.0
1678615200000,1459.78,1463.8,1458.51,1463.02,58428.004,1678618799999,85399785.41483,53848,31813.762,46500395.61975,0.0
1678618800000,1463.02,1466.92,1462.01,1464.16,129133.562,1678622399999,189092157.03621,81789,75399.412,110412868.67571,0.0
1678622400000,1464.16,1464.48,1446.65,1457.96,260599.964,1678625999999,379137994.62471,156048,126672.924,184300741.15119,0.0
1678626000000,1457.92,1465.77,1455.88,1457.27,165730.259,1678629599999,242180183.67959,112489,81390.93,118943659.63012,0.0
1678629600000,1457.28,1460.48,1450.38,1453.29,158929.367,1678633199999,231362008.01078,119457,80893.214,117786539.95439,0.0
1678633200000,1453.28,1457.49,1448.46,1454.99,168462.218,1678636799999,244907639.7391,103866,80694.788,117316113.37009,0.0
1678636800000,1454.99,1464.78,1452.78,1461.33,123016.556,1678640399999,179487459.61884,87591,64208.668,93691388.38221,0.0
1678640400000,1461.34,1535.0,1460.59,1514.43,1018028.804,1678643999999,1530677492.61773,486755,571070.917,858123273.47063,0.0
1678644000000,1514.44,1549.0,1511.0,1531.58,893801.007,1678647599999,1367486699.25906,480168,473394.29,724433153.46024,0.0
1678647600000,1531.55,1539.01,1509.66,1512.07,496242.177,1678651199999,755747410.80727,304297,234153.872,356632051.79681,0.0
1678651200000,1512.14,1546.88,1510.53,1540.59,420606.703,1678654799999,643719895.43549,262650,230684.57,353005082.139,0.0
1678654800000,1540.55,1542.05,1532.02,1540.5,175370.57,1678658399999,269425622.91221,135130,84045.932,129134178.12623,0.0
1678658400000,1540.42,1597.29,1526.15,1564.18,1016398.107,1678661999999,1591746282.42931,597063,542156.724,849277613.5901,0.0
1678662000000,1564.23,1583.79,1561.0,1579.26,505081.98,1678665599999,794104085.87053,310467,261763.966,411608080.11197,0.0
1678665600000,1579.26,1623.86,1572.52,1610.78,724045.103,1678669199999,1156105024.02745,449424,378105.915,603905527.35042,0.0
1678669200000,1610.78,1613.11,1597.0,1598.82,276099.005,1678672799999,442746613.11507,191129,136036.522,218160335.14444,0.0
1678672800000,1598.83,1601.31,1583.26,1589.0,342209.946,1678676399999,545012963.50136,212012,167419.474,266664313.59847,0.0
1678676400000,1589.01,1595.2,1584.0,1587.75,149669.468,1678679999999,237761641.16147,108884,76045.465,120810861.35813,0.0
1678680000000,1587.74,1601.76,1587.38,1593.8,265647.752,1678683599999,423597773.94328,160253,134240.395,214067589.37931,0.0
1678683600000,1593.8,1599.86,1592.3,1598.55,96726.317,1678687199999,154363376.46266,73132,49721.814,79360122.02371,0.0
1678687200000,1598.56,1605.06,1592.6,1601.56,153727.108,1678690799999,245648956.91082,113787,81437.511,130148155.38153,0.0
1678690800000,1601.56,1616.0,1598.16,1606.15,297009.971,1678694399999,477403341.69714,174048,156741.211,251937314.34999,0.0
1678694400000,1606.14,1607.69,1585.61,1586.71,316013.072,1678697999999,504354288.10081,201668,149228.978,238167552.5657,0.0
